name,display_name,base_model,family,variant,seed_index,seed_label,sort_order,aggregate,component,component_label,bin_index,bin_left,bin_right,bin_mid,count,cumulative_count,cumulative_fraction,total_count
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,20,2.3713737056616552e-06,3.162277660168379e-06,2.7384196342643613e-06,142,496,0.0008693213684800897,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,21,3.162277660168379e-06,4.216965034285822e-06,3.651741272548377e-06,177,673,0.0011795429052159283,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,22,4.216965034285822e-06,5.623413251903491e-06,4.869675251658631e-06,230,903,0.0015826556365675828,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,23,5.623413251903491e-06,7.498942093324558e-06,6.493816315762113e-06,300,1203,0.0021084548513740885,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,24,7.498942093324558e-06,9.999999999999999e-06,8.659643233600652e-06,353,1556,0.0027271452607964103,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,25,9.999999999999999e-06,1.333521432163324e-05,1.1547819846894581e-05,483,2039,0.003573681996634885,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,26,1.333521432163324e-05,1.778279410038923e-05,1.5399265260594922e-05,634,2673,0.004684871003925967,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,27,1.778279410038923e-05,2.3713737056616554e-05,2.0535250264571462e-05,744,3417,0.0059888530566461025,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,28,2.3713737056616554e-05,3.1622776601683795e-05,2.7384196342643615e-05,936,4353,0.0076293466068424005,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,29,3.1622776601683795e-05,4.216965034285822e-05,3.651741272548377e-05,1137,5490,0.009622125630959058,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,30,4.216965034285822e-05,5.623413251903491e-05,4.869675251658631e-05,1355,6845,0.01199698541783511,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,31,5.623413251903491e-05,7.498942093324559e-05,6.493816315762113e-05,1652,8497,0.014892386427369602,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,32,7.498942093324559e-05,0.0001,8.659643233600654e-05,2158,10655,0.018674635445877732,570560
Alpha,Alpha,Alpha,Alpha,base,,,0,component,conv,Convolution front-end,33,0.0001,0.0001333521432163324,0.00011547819846894582,2785,13440,0.023555804823331465,570560
