name,display_name,family,variant,sort_order,seed_index,seed_label,seed,threshold,weighted_jaccard,jensen_shannon_similarity,exact_overlap_mass,intersection_variants,source_variants,groundtruth_variants,precision,recall,f1
AlphaQCH_s04,AlphaQCH,Alpha,QCH,2,4,s04,1418059007,1,0.2091958205337288,0.600969918863942,0.4583598981944753,73515.0,112867.0,273284.0,0.6513418448262114,0.2690058693520294,0.3807577864617727
AlphaQCH_s04,AlphaQCH,Alpha,QCH,2,4,s04,1418059007,2,0.24533324915293475,0.7247881713819508,0.5624461556349188,25236.0,36571.0,107484.0,0.6900549615815811,0.23478843362733057,0.3503661795841866
AlphaQCH_s04,AlphaQCH,Alpha,QCH,2,4,s04,1418059007,3,0.26353700389608653,0.8018838991768654,0.6329867188444414,12387.0,17041.0,53134.0,0.7268939616219705,0.2331275642714646,0.35303170644816534
AlphaQCH_s04,AlphaQCH,Alpha,QCH,2,4,s04,1418059007,4,0.2691866326333626,0.8497206792983234,0.6765508884546183,7177.0,9416.0,30491.0,0.762213254035684,0.2353809320783182,0.3596862705790964
AlphaQCH_s04,AlphaQCH,Alpha,QCH,2,4,s04,1418059007,5,0.2674562821636164,0.8806419898538784,0.7093226850112456,4605.0,5793.0,19331.0,0.7949249093733817,0.23821840566964977,0.3665817544976915
AlphaQCH_s04,AlphaQCH,Alpha,QCH,2,4,s04,1418059007,6,0.26294734230602246,0.9026529166507311,0.7361970737744993,3189.0,3854.0,13072.0,0.8274519979242345,0.2439565483476132,0.37681673165544133
AlphaQCH_s04,AlphaQCH,Alpha,QCH,2,4,s04,1418059007,7,0.2566741136912418,0.9184800639611507,0.7581425481301397,2455.0,2827.0,9309.0,0.8684117438981253,0.26372327854764205,0.40458141067897163
AlphaQCH_s04,AlphaQCH,Alpha,QCH,2,4,s04,1418059007,8,0.25078083124775824,0.9299210808491553,0.7751279177459829,2025.0,2241.0,6930.0,0.9036144578313253,0.2922077922077922,0.4416094210009814
AlphaQCH_s04,AlphaQCH,Alpha,QCH,2,4,s04,1418059007,9,0.24483569377296255,0.938436029383477,0.7887298574244017,1759.0,1892.0,5290.0,0.9297040169133193,0.3325141776937618,0.4898357003620162
AlphaQCH_s04,AlphaQCH,Alpha,QCH,2,4,s04,1418059007,10,0.23898196278431127,0.9451318574189348,0.8005352871044096,1592.0,1666.0,4234.0,0.9555822328931572,0.37600377893245157,0.5396610169491525
AlphaQCH_s05,AlphaQCH,Alpha,QCH,2,5,s05,2068136963,1,0.21101267826148376,0.6025399842131931,0.4615566054287339,73541.0,113220.0,273284.0,0.6495407171877761,0.2691010084747003,0.3805445739242026
AlphaQCH_s05,AlphaQCH,Alpha,QCH,2,5,s05,2068136963,2,0.24774199202488936,0.7263804013948558,0.5660222995836922,25318.0,36785.0,107484.0,0.6882696751393231,0.23555133787354396,0.35098323271111603
AlphaQCH_s05,AlphaQCH,Alpha,QCH,2,5,s05,2068136963,3,0.2666602703842455,0.8039913963225647,0.6371335333066773,12421.0,17064.0,53134.0,0.727906704172527,0.2337674558663003,0.35388472606057153
AlphaQCH_s05,AlphaQCH,Alpha,QCH,2,5,s05,2068136963,4,0.2730264744823298,0.8518057678376847,0.6804837054381525,7173.0,9438.0,30491.0,0.7600127145581691,0.23524974582663738,0.35928773573092243
AlphaQCH_s05,AlphaQCH,Alpha,QCH,2,5,s05,2068136963,5,0.27172886961135756,0.8831939179292206,0.7138618926693177,4602.0,5787.0,19331.0,0.7952306894764126,0.23806321452589105,0.36643044828409904
AlphaQCH_s05,AlphaQCH,Alpha,QCH,2,5,s05,2068136963,6,0.26723846805929824,0.9049918979610485,0.7406704104064918,3210.0,3862.0,13072.0,0.8311755567063698,0.24556303549571604,0.37911893232549904
AlphaQCH_s05,AlphaQCH,Alpha,QCH,2,5,s05,2068136963,7,0.26141834155734744,0.920612702434781,0.7619560685924344,2482.0,2846.0,9309.0,0.8721011946591708,0.2666236974970459,0.4083916083916084
AlphaQCH_s05,AlphaQCH,Alpha,QCH,2,5,s05,2068136963,8,0.25582294852114634,0.9318224852130803,0.7781006546680387,2045.0,2261.0,6930.0,0.9044670499778859,0.2950937950937951,0.445000544010445
AlphaQCH_s05,AlphaQCH,Alpha,QCH,2,5,s05,2068136963,9,0.2503848827440327,0.9401211327547822,0.7914561161410485,1767.0,1909.0,5290.0,0.925615505500262,0.33402646502835537,0.4909015140991804
AlphaQCH_s05,AlphaQCH,Alpha,QCH,2,5,s05,2068136963,10,0.24485677373368378,0.9466514278158583,0.8030155053504135,1589.0,1674.0,4234.0,0.9492234169653524,0.3752952290977799,0.537914691943128
AlphaQCH_s06,AlphaQCH,Alpha,QCH,2,6,s06,2072361201,1,0.22152888750308558,0.6083671416962979,0.46650579009419724,76446.0,118289.0,273284.0,0.6462646568996272,0.27973097583466283,0.39045593031184483
AlphaQCH_s06,AlphaQCH,Alpha,QCH,2,6,s06,2072361201,2,0.26078779010590747,0.7306025536441104,0.5694057837740755,26860.0,39540.0,107484.0,0.6793120890237734,0.24989765918648357,0.3653825225813473
AlphaQCH_s06,AlphaQCH,Alpha,QCH,2,6,s06,2072361201,3,0.28128372583651157,0.8067149632885171,0.637829547016393,13431.0,18712.0,53134.0,0.7177746900384779,0.25277600030112546,0.3738830275867829
AlphaQCH_s06,AlphaQCH,Alpha,QCH,2,6,s06,2072361201,4,0.28825326150347386,0.8530939387567296,0.6781975654422898,7820.0,10500.0,30491.0,0.7447619047619047,0.25646912203601063,0.3815471688907321
AlphaQCH_s06,AlphaQCH,Alpha,QCH,2,6,s06,2072361201,5,0.2871150135142183,0.8834458301622659,0.7110363030941149,5022.0,6471.0,19331.0,0.7760778859527121,0.2597899746521132,0.38927214944577937
AlphaQCH_s06,AlphaQCH,Alpha,QCH,2,6,s06,2072361201,6,0.2827412804258939,0.9047843307864561,0.737626365370049,3466.0,4289.0,13072.0,0.8081137794357659,0.2651468788249694,0.3992857554288347
AlphaQCH_s06,AlphaQCH,Alpha,QCH,2,6,s06,2072361201,7,0.27620364748476467,0.920048002937149,0.7592717276260355,2667.0,3134.0,9309.0,0.8509891512444161,0.2864969384466645,0.4286747568914249
AlphaQCH_s06,AlphaQCH,Alpha,QCH,2,6,s06,2072361201,8,0.2700992914638261,0.9307777716920759,0.7754471110499703,2149.0,2445.0,6930.0,0.8789366053169734,0.3101010101010101,0.4584533333333333
AlphaQCH_s06,AlphaQCH,Alpha,QCH,2,6,s06,2072361201,9,0.263781303733465,0.9392598447186931,0.7897603182381029,1854.0,2039.0,5290.0,0.9092692496321726,0.3504725897920605,0.5059353254195661
